"Time","Symbol","Side","Type","Size","Price","Trade Value","Fee","Realized PnL"
"2025-11-07 19:08:09","BTC","Open Short","Fulfill Taker","0.0036 BTC","104,033","$374.52","$0.15","-$0.15"
"2025-11-07 19:08:03","ETH","Close Short","Fulfill Taker","0.1082 ETH","3,471.1","$375.57","$0.15","-$0.8"
"2025-11-07 19:02:38","ETH","Open Short","Fulfill Taker","0.1082 ETH","3,465.1","$374.92","$0.15","-$0.15"
"2025-11-07 18:57:13","DOGE","Close Short","Fulfill Taker","2074 DOGE","0.18066","$374.69","$0.15","-$0.31"
"2025-11-07 18:57:07","ETH","Close Short","Fulfill Taker","0.1083 ETH","3,468.3","$375.62","$0.15","-$0.63"
"2025-11-07 18:51:39","BTC","Close Short","Fulfill Taker","0.00326 BTC","103,517","$337.47","$0.13","-$0.7"
"2025-11-07 18:51:39","BTC","Close Short","Fulfill Taker","0.00037 BTC","103,516","$38.3","$0.02","-$0.08"
"2025-11-07 18:51:36","DOGE","Open Short","Fulfill Taker","1678 DOGE","0.18057","$303","$0.12","-$0.12"
"2025-11-07 18:51:36","DOGE","Open Short","Fulfill Taker","396 DOGE","0.18063","$71.53","$0.03","-$0.03"
"2025-11-07 18:51:33","ETH","Open Short","Fulfill Taker","0.1083 ETH","3,463.9","$375.14","$0.15","-$0.15"
"2025-11-07 18:46:07","ETH","Close Short","Fulfill Taker","0.1083 ETH","3,463.1","$375.05","$0.15","-$0.34"
"2025-11-07 18:40:43","BTC","Open Short","Fulfill Taker","0.00363 BTC","103,345","$375.14","$0.15","-$0.15"
"2025-11-07 18:40:39","ETH","Open Short","Fulfill Taker","0.1083 ETH","3,461.3","$374.86","$0.15","-$0.15"
"2025-11-07 18:35:13","DOGE","Close Short","Fulfill Taker","2074 DOGE","0.18124","$375.89","$0.15","-$1.33"
"2025-11-07 18:35:07","ETH","Close Short","Fulfill Taker","0.1082 ETH","3,465.9","$375.01","$0.15","-$0.45"
"2025-11-07 18:29:41","DOGE","Open Short","Fulfill Taker","2074 DOGE","0.18067","$374.71","$0.15","-$0.15"
"2025-11-07 18:29:38","ETH","Open Short","Fulfill Taker","0.1082 ETH","3,463.1","$374.71","$0.15","-$0.15"
"2025-11-07 18:24:09","ETH","Close Short","Fulfill Taker","0.1083 ETH","3,462","$374.93","$0.15","-$0.08"
"2025-11-07 18:24:03","BTC","Close Short","Fulfill Taker","0.00362 BTC","103,415","$374.36","$0.15","+$0.26"
"2025-11-07 18:18:20","ETH","Open Short","Fulfill Taker","0.1083 ETH","3,462.6","$375","$0.15","-$0.15"
"2025-11-07 18:18:17","BTC","Open Short","Fulfill Taker","0.00362 BTC","103,528","$374.77","$0.15","-$0.15"
"2025-11-07 18:12:33","DOGE","Close Short","Fulfill Taker","2078 DOGE","0.18084","$375.79","$0.15","-$0.61"
